Label (Grouping),Alabama!!Total!!Estimate,Alabama!!Total!!Margin of Error,Alabama!!Median income (dollars)!!Estimate,Alabama!!Median income (dollars)!!Margin of Error,Alaska!!Total!!Estimate,Alaska!!Total!!Margin of Error,Alaska!!Median income (dollars)!!Estimate,Alaska!!Median income (dollars)!!Margin of Error,Arizona!!Total!!Estimate,Arizona!!Total!!Margin of Error,Arizona!!Median income (dollars)!!Estimate,Arizona!!Median income (dollars)!!Margin of Error,Arkansas!!Total!!Estimate,Arkansas!!Total!!Margin of Error,Arkansas!!Median income (dollars)!!Estimate,Arkansas!!Median income (dollars)!!Margin of Error,California!!Total!!Estimate,California!!Total!!Margin of Error,California!!Median income (dollars)!!Estimate,California!!Median income (dollars)!!Margin of Error,Colorado!!Total!!Estimate,Colorado!!Total!!Margin of Error,Colorado!!Median income (dollars)!!Estimate,Colorado!!Median income (dollars)!!Margin of Error,Connecticut!!Total!!Estimate,Connecticut!!Total!!Margin of Error,Connecticut!!Median income (dollars)!!Estimate,Connecticut!!Median income (dollars)!!Margin of Error,Delaware!!Total!!Estimate,Delaware!!Total!!Margin of Error,Delaware!!Median income (dollars)!!Estimate,Delaware!!Median income (dollars)!!Margin of Error,District of Columbia!!Total!!Estimate,District of Columbia!!Total!!Margin of Error,District of Columbia!!Median income (dollars)!!Estimate,District of Columbia!!Median income (dollars)!!Margin of Error,Florida!!Total!!Estimate,Florida!!Total!!Margin of Error,Florida!!Median income (dollars)!!Estimate,Florida!!Median income (dollars)!!Margin of Error,Georgia!!Total!!Estimate,Georgia!!Total!!Margin of Error,Georgia!!Median income (dollars)!!Estimate,Georgia!!Median income (dollars)!!Margin of Error,Hawaii!!Total!!Estimate,Hawaii!!Total!!Margin of Error,Hawaii!!Median income (dollars)!!Estimate,Hawaii!!Median income (dollars)!!Margin of Error,Idaho!!Total!!Estimate,Idaho!!Total!!Margin of Error,Idaho!!Median income (dollars)!!Estimate,Idaho!!Median income (dollars)!!Margin of Error,Illinois!!Total!!Estimate,Illinois!!Total!!Margin of Error,Illinois!!Median income (dollars)!!Estimate,Illinois!!Median income (dollars)!!Margin of Error,Indiana!!Total!!Estimate,Indiana!!Total!!Margin of Error,Indiana!!Median income (dollars)!!Estimate,Indiana!!Median income (dollars)!!Margin of Error,Iowa!!Total!!Estimate,Iowa!!Total!!Margin of Error,Iowa!!Median income (dollars)!!Estimate,Iowa!!Median income (dollars)!!Margin of Error,Kansas!!Total!!Estimate,Kansas!!Total!!Margin of Error,Kansas!!Median income (dollars)!!Estimate,Kansas!!Median income (dollars)!!Margin of Error,Kentucky!!Total!!Estimate,Kentucky!!Total!!Margin of Error,Kentucky!!Median income (dollars)!!Estimate,Kentucky!!Median income (dollars)!!Margin of Error,Louisiana!!Total!!Estimate,Louisiana!!Total!!Margin of Error,Louisiana!!Median income (dollars)!!Estimate,Louisiana!!Median income (dollars)!!Margin of Error,Maine!!Total!!Estimate,Maine!!Total!!Margin of Error,Maine!!Median income (dollars)!!Estimate,Maine!!Median income (dollars)!!Margin of Error,Maryland!!Total!!Estimate,Maryland!!Total!!Margin of Error,Maryland!!Median income (dollars)!!Estimate,Maryland!!Median income (dollars)!!Margin of Error,Massachusetts!!Total!!Estimate,Massachusetts!!Total!!Margin of Error,Massachusetts!!Median income (dollars)!!Estimate,Massachusetts!!Median income (dollars)!!Margin of Error,Michigan!!Total!!Estimate,Michigan!!Total!!Margin of Error,Michigan!!Median income (dollars)!!Estimate,Michigan!!Median income (dollars)!!Margin of Error,Minnesota!!Total!!Estimate,Minnesota!!Total!!Margin of Error,Minnesota!!Median income (dollars)!!Estimate,Minnesota!!Median income (dollars)!!Margin of Error,Mississippi!!Total!!Estimate,Mississippi!!Total!!Margin of Error,Mississippi!!Median income (dollars)!!Estimate,Mississippi!!Median income (dollars)!!Margin of Error,Missouri!!Total!!Estimate,Missouri!!Total!!Margin of Error,Missouri!!Median income (dollars)!!Estimate,Missouri!!Median income (dollars)!!Margin of Error,Montana!!Total!!Estimate,Montana!!Total!!Margin of Error,Montana!!Median income (dollars)!!Estimate,Montana!!Median income (dollars)!!Margin of Error,Nebraska!!Total!!Estimate,Nebraska!!Total!!Margin of Error,Nebraska!!Median income (dollars)!!Estimate,Nebraska!!Median income (dollars)!!Margin of Error,Nevada!!Total!!Estimate,Nevada!!Total!!Margin of Error,Nevada!!Median income (dollars)!!Estimate,Nevada!!Median income (dollars)!!Margin of Error,New Hampshire!!Total!!Estimate,New Hampshire!!Total!!Margin of Error,New Hampshire!!Median income (dollars)!!Estimate,New Hampshire!!Median income (dollars)!!Margin of Error,New Jersey!!Total!!Estimate,New Jersey!!Total!!Margin of Error,New Jersey!!Median income (dollars)!!Estimate,New Jersey!!Median income (dollars)!!Margin of Error,New Mexico!!Total!!Estimate,New Mexico!!Total!!Margin of Error,New Mexico!!Median income (dollars)!!Estimate,New Mexico!!Median income (dollars)!!Margin of Error,New York!!Total!!Estimate,New York!!Total!!Margin of Error,New York!!Median income (dollars)!!Estimate,New York!!Median income (dollars)!!Margin of Error,North Carolina!!Total!!Estimate,North Carolina!!Total!!Margin of Error,North Carolina!!Median income (dollars)!!Estimate,North Carolina!!Median income (dollars)!!Margin of Error,North Dakota!!Total!!Estimate,North Dakota!!Total!!Margin of Error,North Dakota!!Median income (dollars)!!Estimate,North Dakota!!Median income (dollars)!!Margin of Error,Ohio!!Total!!Estimate,Ohio!!Total!!Margin of Error,Ohio!!Median income (dollars)!!Estimate,Ohio!!Median income (dollars)!!Margin of Error,Oklahoma!!Total!!Estimate,Oklahoma!!Total!!Margin of Error,Oklahoma!!Median income (dollars)!!Estimate,Oklahoma!!Median income (dollars)!!Margin of Error,Oregon!!Total!!Estimate,Oregon!!Total!!Margin of Error,Oregon!!Median income (dollars)!!Estimate,Oregon!!Median income (dollars)!!Margin of Error,Pennsylvania!!Total!!Estimate,Pennsylvania!!Total!!Margin of Error,Pennsylvania!!Median income (dollars)!!Estimate,Pennsylvania!!Median income (dollars)!!Margin of Error,Rhode Island!!Total!!Estimate,Rhode Island!!Total!!Margin of Error,Rhode Island!!Median income (dollars)!!Estimate,Rhode Island!!Median income (dollars)!!Margin of Error,South Carolina!!Total!!Estimate,South Carolina!!Total!!Margin of Error,South Carolina!!Median income (dollars)!!Estimate,South Carolina!!Median income (dollars)!!Margin of Error,South Dakota!!Total!!Estimate,South Dakota!!Total!!Margin of Error,South Dakota!!Median income (dollars)!!Estimate,South Dakota!!Median income (dollars)!!Margin of Error,Tennessee!!Total!!Estimate,Tennessee!!Total!!Margin of Error,Tennessee!!Median income (dollars)!!Estimate,Tennessee!!Median income (dollars)!!Margin of Error,Texas!!Total!!Estimate,Texas!!Total!!Margin of Error,Texas!!Median income (dollars)!!Estimate,Texas!!Median income (dollars)!!Margin of Error,Utah!!Total!!Estimate,Utah!!Total!!Margin of Error,Utah!!Median income (dollars)!!Estimate,Utah!!Median income (dollars)!!Margin of Error,Vermont!!Total!!Estimate,Vermont!!Total!!Margin of Error,Vermont!!Median income (dollars)!!Estimate,Vermont!!Median income (dollars)!!Margin of Error,Virginia!!Total!!Estimate,Virginia!!Total!!Margin of Error,Virginia!!Median income (dollars)!!Estimate,Virginia!!Median income (dollars)!!Margin of Error,Washington!!Total!!Estimate,Washington!!Total!!Margin of Error,Washington!!Median income (dollars)!!Estimate,Washington!!Median income (dollars)!!Margin of Error,West Virginia!!Total!!Estimate,West Virginia!!Total!!Margin of Error,West Virginia!!Median income (dollars)!!Estimate,West Virginia!!Median income (dollars)!!Margin of Error,Wisconsin!!Total!!Estimate,Wisconsin!!Total!!Margin of Error,Wisconsin!!Median income (dollars)!!Estimate,Wisconsin!!Median income (dollars)!!Margin of Error,Wyoming!!Total!!Estimate,Wyoming!!Total!!Margin of Error,Wyoming!!Median income (dollars)!!Estimate,Wyoming!!Median income (dollars)!!Margin of Error,Puerto Rico!!Total!!Estimate,Puerto Rico!!Total!!Margin of Error,Puerto Rico!!Median income (dollars)!!Estimate,Puerto Rico!!Median income (dollars)!!Margin of Error
HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households,"1,842,174","±5,671","43,511",±226,"251,678","±1,303","71,829",±735,"2,387,246","±8,050","49,928",±244,"1,132,488","±4,067","41,264",±239,"12,617,280","±20,413","61,489",±154,"1,998,314","±5,078","59,448",±312,"1,356,206","±2,983","69,899",±520,"339,046","±1,589","60,231",±601,"267,415","±1,579","69,235","±1,127","7,217,508","±24,923","47,212",±163,"3,540,690","±10,836","49,342",±215,"450,299","±1,824","68,201",±682,"585,259","±2,354","47,334",±444,"4,778,633","±11,513","57,166",±203,"2,492,183","±6,801","48,737",±254,"1,232,228","±3,504","52,716",±271,"1,112,335","±3,321","51,872",±245,"1,702,235","±5,177","43,342",±237,"1,718,876","±4,824","44,991",±329,"553,086","±2,062","48,804",±481,"2,155,983","±5,424","74,149",±395,"2,538,485","±4,546","67,846",±387,"3,827,880","±9,311","49,087",±192,"2,115,337","±5,381","60,828",±240,"1,092,627","±4,203","39,464",±306,"2,361,232","±6,423","47,764",±234,"407,797","±1,827","46,766",±502,"731,347","±2,551","52,400",±334,"1,005,958","±4,387","52,205",±302,"519,580","±2,032","65,986",±546,"3,188,498","±6,117","72,062",±330,"764,684","±2,848","44,968",±419,"7,255,528","±10,898","58,687",±207,"3,742,514","±9,967","46,693",±191,"292,616","±1,578","55,579",±753,"4,570,015","±10,810","48,849",±162,"1,450,117","±3,649","46,235",±201,"1,522,988","±4,103","50,521",±266,"4,957,736","±9,670","53,115",±159,"409,569","±1,699","56,423",±679,"1,795,715","±5,585","45,033",±249,"327,101","±1,655","50,338",±436,"2,487,349","±6,925","44,621",±206,"9,013,582","±16,898","52,576",±147,"896,194","±2,411","59,846",±392,"257,252","±1,155","54,447",±555,"3,041,710","±9,225","64,792",±274,"2,645,396","±5,534","60,294",±265,"742,359","±2,723","41,576",±355,"2,293,250","±5,079","52,738",±201,"225,514","±1,392","58,252",±788,"1,241,454","±2,991","19,686",±143
    One race--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        White,71.40%,±0.1,"49,989",±307,74.70%,±0.4,"78,752",±987,83.50%,±0.1,"51,717",±232,80.50%,±0.2,"44,553",±332,67.40%,±0.1,"64,405",±206,87.40%,±0.1,"61,794",±316,81.50%,±0.1,"75,804",±499,73.70%,±0.3,"64,791",±768,45.00%,±0.4,"111,817","±2,028",80.70%,±0.1,"50,002",±182,63.80%,±0.1,"56,472",±278,33.80%,±0.3,"66,975","±1,009",93.90%,±0.2,"47,996",±448,76.60%,±0.1,"62,152",±231,86.70%,±0.1,"51,311",±221,93.80%,±0.1,"53,780",±277,88.10%,±0.2,"53,621",±282,89.40%,±0.1,"44,895",±249,66.10%,±0.1,"54,727",±460,96.70%,±0.1,"49,258",±492,61.90%,±0.1,"82,638",±517,83.70%,±0.1,"72,181",±353,81.80%,±0.1,"52,395",±175,89.30%,±0.1,"63,127",±291,62.80%,±0.2,"48,738",±468,85.00%,±0.1,"50,655",±223,92.60%,±0.2,"48,107",±589,90.90%,±0.1,"54,303",±354,75.30%,±0.3,"54,736",±455,95.40%,±0.1,"66,212",±558,72.60%,±0.1,"77,446",±401,78.00%,±0.3,"47,835",±573,70.00%,±0.1,"65,667",±203,72.90%,±0.1,"51,958",±215,92.30%,±0.2,"57,619",±821,84.30%,±0.1,"52,251",±159,77.80%,±0.2,"49,409",±262,89.00%,±0.1,"51,397",±270,85.10%,±0.1,"56,327",±175,85.60%,±0.3,"61,002",±674,70.40%,±0.2,"52,089",±271,90.60%,±0.2,"52,535",±475,80.50%,±0.1,"47,658",±271,76.70%,±0.1,"55,782",±172,90.80%,±0.2,"61,396",±343,96.70%,±0.1,"54,661",±578,73.20%,±0.1,"69,851",±366,83.00%,±0.1,"61,732",±277,95.00%,±0.1,"42,140",±367,90.00%,±0.1,"55,187",±202,93.50%,±0.3,"59,519",±873,69.40%,±0.3,"20,080",±213
        Black or African American,25.30%,±0.1,"29,055",±384,3.50%,±0.2,"55,897","±5,839",4.00%,±0.1,"39,266","±1,290",14.90%,±0.1,"26,733",±479,6.50%,±0.1,"43,476",±481,3.70%,±0.1,"41,980","±1,275",9.40%,±0.1,"42,838","±1,150",19.90%,±0.3,"46,149","±1,065",46.20%,±0.4,"40,829",±853,13.70%,±0.1,"34,467",±264,29.90%,±0.1,"36,356",±272,2.20%,±0.1,"61,829","±3,132",0.50%,±0.1,"33,391","±7,758",13.80%,±0.1,"34,174",±367,8.80%,±0.1,"30,531",±562,2.50%,±0.1,"27,745","±1,389",5.60%,±0.1,"32,903","±1,124",7.70%,±0.1,"28,858",±753,30.00%,±0.1,"28,116",±355,0.70%,±0.1,"24,370","±4,351",29.00%,±0.1,"58,657",±564,6.10%,±0.1,"42,895",±861,13.40%,±0.1,"29,628",±366,4.50%,±0.1,"29,873",±959,34.80%,±0.2,"26,384",±317,11.00%,±0.1,"31,831",±487,0.30%,±0.1,"36,842","±15,211",4.30%,±0.1,"28,376","±1,561",8.30%,±0.1,"37,269","±1,269",1.00%,±0.1,"49,815","±3,669",13.20%,±0.1,"46,640",±603,2.00%,±0.1,"40,960","±2,955",14.70%,±0.1,"41,598",±339,21.00%,±0.1,"32,930",±293,1.30%,±0.1,"29,012","±2,162",12.10%,±0.1,"27,909",±427,7.10%,±0.1,"30,484",±646,1.60%,±0.1,"33,505","±2,565",9.90%,±0.1,"32,606",±363,5.40%,±0.2,"33,969","±1,656",26.10%,±0.1,"29,971",±330,1.20%,±0.1,"33,516","±3,881",15.70%,±0.1,"32,361",±377,12.30%,±0.1,"38,709",±345,0.90%,±0.1,"39,915","±4,238",0.70%,±0.1,"54,531","±8,461",18.60%,±0.1,"44,288",±463,3.50%,±0.1,"42,120","±1,091",2.90%,±0.1,"28,993","±1,845",5.40%,±0.1,"26,968",±515,0.90%,±0.1,"36,479","±10,105",8.70%,±0.1,"19,463",±499
        American Indian and Alaska Native,0.50%,±0.1,"37,727","±3,257",11.40%,±0.2,"45,624","±1,476",3.20%,±0.1,"31,549",±840,0.60%,±0.1,"37,048","±5,545",0.70%,±0.1,"45,319","±1,536",0.80%,±0.1,"40,268","±1,745",0.20%,±0.1,"43,609","±3,367",0.40%,±0.1,"35,809","±7,209",0.40%,±0.1,"62,928","±23,088",0.30%,±0.1,"38,808","±3,168",0.30%,±0.1,"38,359","±4,958",0.20%,±0.1,"47,083","±9,978",1.20%,±0.1,"37,438","±2,641",0.20%,±0.1,"41,567","±2,164",0.20%,±0.1,"35,741","±2,468",0.30%,±0.1,"31,208","±6,511",0.70%,±0.1,"39,104","±2,926",0.20%,±0.1,"30,713","±6,741",0.60%,±0.1,"41,408","±6,039",0.50%,±0.1,"28,835","±6,404",0.30%,±0.1,"54,127","±5,544",0.20%,±0.1,"36,701","±4,298",0.50%,±0.1,"37,217","±1,826",0.90%,±0.1,"32,161","±1,646",0.40%,±0.1,"36,379","±5,505",0.40%,±0.1,"35,855","±4,300",4.50%,±0.1,"30,284","±1,241",0.60%,±0.1,"26,879","±3,000",1.00%,±0.1,"42,555","±3,675",0.20%,±0.1,"36,298","±18,183",0.20%,±0.1,"36,663","±6,017",6.50%,±0.1,"31,562",±915,0.40%,±0.1,"36,669","±2,183",1.00%,±0.1,"31,471","±1,096",3.80%,±0.1,"29,857","±2,049",0.20%,±0.1,"32,551","±2,286",6.20%,±0.1,"38,734",±730,1.10%,±0.1,"36,332","±2,239",0.20%,±0.1,"34,103","±3,888",0.40%,±0.1,"25,641","±6,633",0.30%,±0.1,"31,972","±2,858",5.50%,±0.2,"25,438","±1,161",0.30%,±0.1,"37,160","±4,650",0.50%,±0.1,"46,301","±1,793",1.00%,±0.1,"33,113","±2,818",0.40%,±0.1,"36,530","±6,272",0.30%,±0.1,"54,801","±4,412",1.20%,±0.1,"40,218","±1,428",0.20%,±0.1,"23,117","±5,716",0.80%,±0.1,"36,537","±1,504",1.50%,±0.1,"41,502","±3,942",0.30%,±0.1,"19,342","±2,166"
        Asian,1.00%,±0.1,"56,276","±4,722",3.90%,±0.2,"63,551","±3,242",2.60%,±0.1,"65,658","±1,974",1.10%,±0.1,"55,922","±3,776",12.70%,±0.1,"77,932",±570,2.40%,±0.1,"64,854","±2,630",3.30%,±0.1,"86,676","±2,302",2.90%,±0.1,"87,453","±9,266",3.70%,±0.2,"82,213","±6,281",2.10%,±0.1,"61,248",±956,2.90%,±0.1,"64,364","±1,118",39.30%,±0.3,"73,765","±1,047",1.10%,±0.1,"53,582","±5,472",4.20%,±0.1,"75,890","±1,179",1.50%,±0.1,"52,818","±2,296",1.50%,±0.1,"59,028","±3,494",2.00%,±0.1,"60,287","±2,881",1.00%,±0.1,"62,293","±2,347",1.30%,±0.1,"53,586","±3,461",0.70%,±0.1,"53,495","±4,135",5.00%,±0.1,"92,457","±2,056",4.80%,±0.1,"77,889","±1,769",2.10%,±0.1,"73,809","±1,882",3.00%,±0.1,"65,575","±1,551",0.80%,±0.1,"51,584","±4,806",1.40%,±0.1,"61,162","±2,527",0.60%,±0.1,"47,631","±4,426",1.50%,±0.1,"51,551","±3,178",6.60%,±0.1,"60,168","±1,757",1.80%,±0.1,"78,339","±5,616",7.50%,±0.1,"103,101",±987,1.20%,±0.1,"58,744","±4,559",6.50%,±0.1,"62,420",±868,1.90%,±0.1,"67,138","±2,128",0.90%,±0.1,"44,537","±12,879",1.50%,±0.1,"69,172","±2,164",1.50%,±0.1,"52,833","±2,296",3.20%,±0.1,"62,398","±2,373",2.30%,±0.1,"65,319","±1,377",2.30%,±0.1,"54,070","±3,491",1.10%,±0.1,"54,865","±2,795",0.80%,±0.1,"47,094","±3,390",1.20%,±0.1,"66,243","±1,903",3.70%,±0.1,"73,999",±921,2.00%,±0.1,"60,046","±2,213",0.90%,±0.1,"55,417","±9,463",4.70%,±0.1,"94,223","±1,645",6.40%,±0.1,"72,430","±1,445",0.60%,±0.1,"51,842","±5,248",1.70%,±0.1,"53,887","±2,412",0.70%,±0.1,"43,125","±10,039",0.30%,±0.1,"15,639","±3,411"
        Native Hawaiian and Other Pacific Islander,0.00%,±0.1,"95,848","±27,518",0.70%,±0.1,"50,853","±11,858",0.10%,±0.1,"44,390","±6,588",0.10%,±0.1,"30,118","±4,623",0.30%,±0.1,"60,087","±2,481",0.10%,±0.1,"55,405","±4,847",0.00%,±0.1,"52,900","±13,037",0.00%,±0.1,"38,914","±22,101",0.00%,±0.1,"75,156","±104,146",0.10%,±0.1,"50,838","±4,249",0.00%,±0.1,"45,920","±12,091",7.70%,±0.2,"57,359","±2,622",0.10%,±0.1,"29,944","±11,900",0.00%,±0.1,"73,264","±12,306",0.00%,±0.1,"32,589","±7,293",0.00%,±0.1,"57,115","±30,034",0.00%,±0.1,"60,278","±26,223",0.00%,±0.1,"38,095","±6,605",0.00%,±0.1,"64,119","±25,280",0.00%,±0.1,"39,688","±89,491",0.00%,±0.1,"56,756","±18,836",0.00%,±0.1,"81,103","±23,441",0.00%,±0.1,"47,147","±13,315",0.00%,±0.1,"56,094","±14,921",0.00%,±0.1,"18,846","±36,115",0.10%,±0.1,"35,976","±9,576",0.10%,±0.1,"30,000","±37,234",0.10%,±0.1,"43,839","±13,954",0.50%,±0.1,"45,921","±2,306",0.00%,±0.1,"128,807","±45,486",0.00%,±0.1,"74,375","±15,818",0.00%,±0.1,"39,732","±37,359",0.00%,±0.1,"42,240","±11,257",0.00%,±0.1,"49,278","±12,693",0.00%,±0.1,"53,667","±44,233",0.00%,±0.1,"56,389","±23,882",0.10%,±0.1,"38,343","±6,130",0.30%,±0.1,"37,730","±5,399",0.00%,±0.1,"39,831","±6,302",0.00%,±0.1,"19,318","±12,704",0.00%,±0.1,"31,531","±2,015",0.00%,±0.1,"39,821","±34,123",0.00%,±0.1,"44,540","±8,087",0.10%,±0.1,"52,851","±5,883",0.60%,±0.1,"51,265","±3,686",0.00%,±0.1,-,**,0.10%,±0.1,"95,446","±26,366",0.40%,±0.1,"53,904","±4,029",0.00%,±0.1,"35,592","±23,941",0.00%,±0.1,"35,729","±10,719",0.00%,±0.1,"131,370",±631,0.00%,±0.1,-,**
        Some other race,0.80%,±0.1,"31,911","±2,702",1.00%,±0.1,"56,875","±10,394",4.70%,±0.1,"36,660",±853,1.40%,±0.1,"33,038","±2,059",9.40%,±0.1,"44,969",±247,3.40%,±0.1,"38,258","±1,211",4.00%,±0.1,"34,826","±1,527",1.70%,±0.1,"40,474","±2,369",2.60%,±0.2,"46,148","±4,498",1.80%,±0.1,"38,663",±972,2.00%,±0.1,"34,510",±922,1.00%,±0.1,"51,111","±4,927",1.70%,±0.1,"35,197","±2,361",3.90%,±0.1,"44,842",±807,1.60%,±0.1,"35,463","±1,224",0.90%,±0.1,"39,465","±2,054",1.70%,±0.1,"39,298","±2,273",0.60%,±0.1,"33,225","±1,811",0.80%,±0.1,"40,149","±2,925",0.10%,±0.1,"60,933","±10,975",2.10%,±0.1,"58,273","±1,420",3.40%,±0.1,"32,154",±904,0.70%,±0.1,"38,363","±1,514",0.90%,±0.1,"39,673","±1,846",0.60%,±0.1,"34,671","±5,988",0.70%,±0.1,"31,350","±2,023",0.30%,±0.1,"32,023","±3,477",1.40%,±0.1,"40,862","±1,354",5.80%,±0.2,"42,351","±1,147",0.40%,±0.1,"51,169","±18,026",4.90%,±0.1,"45,137",±816,10.00%,±0.2,"34,423","±1,124",6.60%,±0.1,"36,694",±464,1.90%,±0.1,"32,177",±886,0.50%,±0.1,"53,073","±10,523",0.60%,±0.1,"35,695","±1,372",1.80%,±0.1,"37,473",±974,2.30%,±0.1,"38,148","±1,348",1.40%,±0.1,"30,604",±988,4.60%,±0.2,"31,719","±2,574",1.00%,±0.1,"34,798","±1,818",0.60%,±0.1,"35,921","±8,508",1.00%,±0.1,"31,393","±1,265",5.10%,±0.1,"38,426",±412,3.30%,±0.1,"40,938","±1,487",0.10%,±0.1,"55,586","±8,049",1.50%,±0.1,"54,333","±2,088",2.50%,±0.1,"39,321",±869,0.10%,±0.1,"35,855","±10,283",1.10%,±0.1,"34,348","±1,693",1.70%,±0.2,"43,178","±5,502",10.70%,±0.2,"17,796",±474
    Two or more races,1.00%,±0.1,"36,328","±2,213",4.80%,±0.3,"55,489","±3,816",1.80%,±0.1,"46,722","±1,631",1.40%,±0.1,"34,322","±1,785",3.00%,±0.1,"58,769",±904,2.20%,±0.1,"47,342","±1,895",1.60%,±0.1,"51,642","±1,835",1.40%,±0.1,"47,325","±4,126",2.10%,±0.2,"72,630","±10,881",1.50%,±0.1,"42,356",±907,1.20%,±0.1,"46,698","±2,082",15.70%,±0.3,"65,352","±1,667",1.60%,±0.1,"36,213","±5,551",1.20%,±0.1,"48,716","±1,897",1.10%,±0.1,"37,993","±2,266",0.90%,±0.1,"36,181","±2,471",1.80%,±0.1,"41,090","±2,019",1.10%,±0.1,"33,835","±2,617",1.10%,±0.1,"37,307","±2,269",1.20%,±0.1,"37,367","±3,681",1.70%,±0.1,"70,072","±2,560",1.80%,±0.1,"48,977","±2,632",1.40%,±0.1,"36,180","±1,212",1.30%,±0.1,"43,451","±2,207",0.70%,±0.1,"33,695","±2,921",1.40%,±0.1,"37,293","±1,510",1.60%,±0.1,"37,542","±3,486",1.20%,±0.1,"39,139","±2,937",2.60%,±0.1,"50,799","±1,825",1.20%,±0.1,"49,325","±5,891",1.60%,±0.1,"59,161","±2,274",2.20%,±0.1,"40,821","±3,214",1.90%,±0.1,"49,102","±1,218",1.30%,±0.1,"38,158","±1,362",1.10%,±0.1,"39,351","±6,669",1.30%,±0.1,"35,360","±1,125",5.50%,±0.1,"40,441",±862,2.60%,±0.1,"42,710","±2,102",1.10%,±0.1,"37,642","±1,447",1.60%,±0.1,"38,202","±4,828",1.00%,±0.1,"38,191","±2,335",1.30%,±0.1,"40,598","±4,735",1.20%,±0.1,"33,366","±1,564",1.70%,±0.1,"48,217","±1,151",1.30%,±0.1,"48,434","±2,724",1.20%,±0.1,"43,119","±5,607",1.80%,±0.1,"65,164","±2,383",3.00%,±0.1,"52,702","±1,407",1.20%,±0.1,"32,023","±1,925",1.10%,±0.1,"41,659","±1,796",1.70%,±0.2,"44,688","±8,584",10.50%,±0.2,"19,607",±459
