Households,15 to 24 years,25 to 44 years,45 to 64 years,65 years and over,state,year
42081,21086,47474,51270,29466,Alabama,2010
66521,40863,67966,78610,45414,Alaska,2010
50448,28751,54942,60747,37268,Arizona,2010
39267,21820,44551,47141,28155,Arkansas,2010
60883,32470,64374,73646,40098,California,2010
56456,28167,60717,69405,37745,Colorado,2010
67740,31483,73744,84875,39360,Connecticut,2010
57599,32422,62038,70813,39340,Delaware,2010
58526,31006,69979,62670,41660,District of Columbia,2010
47661,27317,52746,56673,34987,Florida,2010
49347,25291,53271,58569,31899,Georgia,2010
66420,36283,68345,76352,52405,Hawaii,2010
46423,27195,50854,56323,33137,Idaho,2010
55735,25854,61533,68668,34435,Illinois,2010
47697,23184,52962,59141,31802,Indiana,2010
48872,26000,56033,61140,31591,Iowa,2010
49424,24844,53980,62659,33355,Kansas,2010
41576,22486,47808,49999,27179,Kentucky,2010
43445,23231,49490,51829,28526,Louisiana,2010
46933,26999,52645,56734,29733,Maine,2010
70647,36504,74677,85695,43861,Maryland,2010
64509,30830,72850,80150,34873,Massachusetts,2010
48432,21528,53856,59703,32979,Michigan,2010
57243,28693,64639,70338,34152,Minnesota,2010
37881,20560,42801,45264,25606,Mississippi,2010
46262,24629,51838,56532,31175,Missouri,2010
43872,24990,48271,53601,31412,Montana,2010
49342,25891,54640,61439,31963,Nebraska,2010
55726,35955,60044,63777,39562,Nevada,2010
63277,33076,71284,74000,36981,New Hampshire,2010
69811,33825,76880,85617,39709,New Jersey,2010
43820,23861,46019,53674,33179,New Mexico,2010
55603,27948,62225,67186,33860,New York,2010
45570,24215,50584,54312,31025,North Carolina,2010
46781,24105,54989,61703,28333,North Dakota,2010
47358,21951,52988,58956,31472,Ohio,2010
42979,24310,46603,52907,31402,Oklahoma,2010
49260,24740,53593,59837,34495,Oregon,2010
50398,23737,57751,62923,30708,Pennsylvania,2010
54902,25648,62050,69319,31776,Rhode Island,2010
43939,23327,48181,52047,31454,South Carolina,2010
46369,25904,52847,57725,29833,South Dakota,2010
43314,22130,48120,51997,29795,Tennessee,2010
49646,25098,52319,60964,33888,Texas,2010
56330,32349,58236,72256,40132,Utah,2010
51841,28715,56339,62001,32773,Vermont,2010
61406,31967,67089,73733,38641,Virginia,2010
57244,30652,62137,69546,38523,Washington,2010
38380,17841,44698,47410,26683,West Virginia,2010
51598,26635,57865,63948,32115,Wisconsin,2010
53802,32382,58586,66241,34092,Wyoming,2010
18791,6538,22747,21595,14274,Puerto Rico,2010
42934,21496,48404,51913,30854,Alabama,2011
69014,41825,71993,80094,47222,Alaska,2011
50752,28126,55001,60615,38447,Arizona,2011
40149,22611,45037,48357,29330,Arkansas,2011
61632,32169,65098,74259,41523,California,2011
57685,28252,62026,70888,39021,Colorado,2011
69243,31011,75084,86637,41216,Connecticut,2011
59317,31318,63495,73172,41527,Delaware,2011
61835,31477,74315,65920,43053,District of Columbia,2011
47827,26955,52474,56789,36054,Florida,2011
49736,24557,53504,58860,33356,Georgia,2011
67116,36139,68532,77563,53402,Hawaii,2011
46890,26623,51227,57131,34104,Idaho,2011
56576,25649,62309,69860,35711,Illinois,2011
48393,22968,53465,59565,32951,Indiana,2011
50451,26249,57522,63153,32685,Iowa,2011
50594,25238,54823,64100,34767,Kansas,2011
42248,22126,48218,51177,28548,Kentucky,2011
44086,22867,50485,52474,29780,Louisiana,2011
47898,26593,53574,58052,30998,Maine,2011
72419,36815,76104,87639,46003,Maryland,2011
65981,30709,75024,81798,36282,Massachusetts,2011
48669,20910,53753,59935,34081,Michigan,2011
58476,28831,65771,71832,35386,Minnesota,2011
38718,20321,43184,46276,26688,Mississippi,2011
47202,24537,52711,57449,32578,Missouri,2011
45324,25863,50062,54795,32865,Montana,2011
50695,26330,55733,62900,33605,Nebraska,2011
55553,35066,59442,63508,40591,Nevada,2011
64664,33375,72500,76533,38538,New Hampshire,2011
71180,33277,78251,87186,41269,New Jersey,2011
44631,24022,46736,54357,34665,New Mexico,2011
56951,27896,63709,68872,35199,New York,2011
46291,24371,50983,55161,32242,North Carolina,2011
49415,25789,57684,64680,29981,North Dakota,2011
48071,21626,53578,59591,32716,Ohio,2011
44287,25251,48000,54332,32387,Oklahoma,2011
49850,24366,53914,60743,35521,Oregon,2011
51651,23889,59211,64400,32036,Pennsylvania,2011
55975,25216,61980,71473,33059,Rhode Island,2011
44587,23647,48887,52883,32824,South Carolina,2011
48010,25802,54330,60080,31690,South Dakota,2011
43989,21974,48883,52838,30905,Tennessee,2011
50920,25625,53603,62481,35238,Texas,2011
57783,32726,59503,73467,41278,Utah,2011
53422,28388,59425,63373,34621,Vermont,2011
63302,32042,69325,76180,40563,Virginia,2011
58890,30293,63935,71300,40180,Washington,2011
39550,18422,46585,48247,27773,West Virginia,2011
52374,26744,58693,64904,33267,Wisconsin,2011
56380,34312,61662,69229,35232,Wyoming,2011
19122,6620,22792,22077,14885,Puerto Rico,2011
43160,20893,48272,52038,31905,Alabama,2012
69917,42427,72075,81427,47979,Alaska,2012
50256,26807,54177,59882,39057,Arizona,2012
40531,22168,45367,48465,30293,Arkansas,2012
61400,31097,64522,73909,42408,California,2012
58244,28082,62131,71481,40308,Colorado,2012
69519,30270,74508,87309,42186,Connecticut,2012
60119,31315,64362,72689,42651,Delaware,2012
64267,31658,77918,67945,45003,District of Columbia,2012
47309,25554,51597,55945,36631,Florida,2012
49604,23621,53226,58635,34286,Georgia,2012
67492,37405,68304,77505,55240,Hawaii,2012
47015,26795,50894,56953,34770,Idaho,2012
56853,24793,62477,69894,36598,Illinois,2012
48374,22742,53331,59295,33732,Indiana,2012
51129,26300,58123,63349,33921,Iowa,2012
51273,25707,55125,64508,35946,Kansas,2012
42610,21833,48641,51423,29338,Kentucky,2012
44673,22129,51113,53242,30559,Louisiana,2012
48219,27013,53607,58329,31787,Maine,2012
72999,35648,76237,88713,47371,Maryland,2012
66658,30500,75418,82374,37427,Massachusetts,2012
48471,20621,53241,59413,34943,Michigan,2012
59126,28674,66452,72565,36335,Minnesota,2012
38882,20360,43027,46352,27597,Mississippi,2012
47333,24379,52855,57649,33359,Missouri,2012
45456,26079,50908,54437,33720,Montana,2012
51381,26535,56080,63831,34649,Nebraska,2012
54083,33276,57188,62135,40848,Nevada,2012
64925,32657,72495,77946,39675,New Hampshire,2012
71637,32696,78560,87785,42460,New Jersey,2012
44886,23845,47095,54143,35293,New Mexico,2012
57683,27270,64300,69264,36330,New York,2012
46450,24444,50698,55249,33341,North Carolina,2012
51641,28155,59674,66452,32086,North Dakota,2012
48246,21333,53569,59564,33593,Ohio,2012
44891,25256,49155,54738,33100,Oklahoma,2012
50036,24544,54084,60425,36667,Oregon,2012
52267,24244,59548,64918,33045,Pennsylvania,2012
56102,24619,61503,71403,34808,Rhode Island,2012
44623,22851,48635,52501,33831,South Carolina,2012
49091,26049,54775,61281,32866,South Dakota,2012
44140,21546,48640,52894,31905,Tennessee,2012
51563,25479,54137,62866,36175,Texas,2012
58164,32325,59836,73647,42067,Utah,2012
54168,27425,59947,64060,35804,Vermont,2012
63636,30913,69662,76904,41637,Virginia,2012
59374,29614,64330,71909,41074,Washington,2012
40400,19501,48047,48991,28607,West Virginia,2012
52627,26183,58554,64947,34164,Wisconsin,2012
56573,34032,61779,69871,36142,Wyoming,2012
19515,6585,22981,22444,15582,Puerto Rico,2012
43253,20151,47774,52120,32520,Alabama,2013
70760,42376,73194,81859,49637,Alaska,2013
49774,25770,53480,59145,39445,Arizona,2013
40768,21566,45041,48521,31238,Arkansas,2013
61094,30273,64092,73430,43181,California,2013
58433,27323,62301,71648,41471,Colorado,2013
69461,30838,73531,87267,42928,Connecticut,2013
59878,30989,64285,72121,43033,Delaware,2013
65830,31151,80115,66957,45932,District of Columbia,2013
46956,24788,50693,55466,37031,Florida,2013
49179,23150,52341,58167,35366,Georgia,2013
67402,36081,68148,77591,56161,Hawaii,2013
46767,25879,50632,57078,35297,Idaho,2013
56797,23840,62108,70094,37331,Illinois,2013
48248,22499,53009,58936,34629,Indiana,2013
51843,25753,59045,64063,35113,Iowa,2013
51332,25607,55299,64517,36592,Kansas,2013
43036,22383,48877,51384,30553,Kentucky,2013
44874,21867,51272,53100,31198,Louisiana,2013
48453,27451,53532,58451,33062,Maine,2013
73538,34601,76320,89525,48632,Maryland,2013
66866,30342,75746,82433,38325,Massachusetts,2013
48411,20786,52736,59211,35790,Michigan,2013
59836,28363,67074,73441,37329,Minnesota,2013
39031,20589,42861,45950,28601,Mississippi,2013
47380,23734,52640,57501,34061,Missouri,2013
46230,25168,51389,54707,34580,Montana,2013
51672,26290,55951,64517,35878,Nebraska,2013
52800,32054,55227,60450,41000,Nevada,2013
64916,32895,71843,78544,40710,New Hampshire,2013
71629,32156,78151,87525,43422,New Jersey,2013
44927,23535,46884,54447,35779,New Mexico,2013
58003,27100,64597,69752,37228,New York,2013
46334,24068,50260,54919,34117,North Carolina,2013
53741,28826,62640,68802,33664,North Dakota,2013
48308,21141,53351,59611,34270,Ohio,2013
45339,25344,49309,55217,33746,Oklahoma,2013
50229,23459,54394,60625,37530,Oregon,2013
52548,24136,59897,65157,33904,Pennsylvania,2013
56361,25169,61065,71708,36341,Rhode Island,2013
44779,22132,48297,52608,34777,South Carolina,2013
49495,27060,54693,61421,33893,South Dakota,2013
44298,21800,48535,53061,32702,Tennessee,2013
51900,25601,54524,63165,36915,Texas,2013
58821,31419,60618,73888,43114,Utah,2013
54267,27733,60033,64082,36598,Vermont,2013
63907,30677,69658,77206,42806,Virginia,2013
59478,28817,64286,72076,41968,Washington,2013
41043,19237,48283,49718,29490,West Virginia,2013
52413,26039,58104,65127,34562,Wisconsin,2013
57406,32166,63509,70428,37207,Wyoming,2013
19624,6842,22910,22668,15932,Puerto Rico,2013
43511,20560,47850,52048,33444,Alabama,2014
71829,42742,74898,82782,51768,Alaska,2014
49928,25790,53575,59068,40054,Arizona,2014
41264,22179,45741,48739,32199,Arkansas,2014
61489,29452,64546,73775,44204,California,2014
59448,27717,63453,72479,42655,Colorado,2014
69899,29940,73361,87842,44298,Connecticut,2014
60231,29750,64800,72237,44076,Delaware,2014
69235,31384,83013,69931,47139,District of Columbia,2014
47212,25030,50755,55662,37683,Florida,2014
49342,23220,51851,58662,36350,Georgia,2014
68201,38123,69205,78838,57176,Hawaii,2014
47334,25338,51087,57970,35876,Idaho,2014
57166,24207,62340,70284,38325,Illinois,2014
48737,22736,53136,59465,35667,Indiana,2014
52716,26242,60276,65223,35945,Iowa,2014
51872,25813,56041,65005,37533,Kansas,2014
43342,22754,49463,51642,31622,Kentucky,2014
44991,22089,51117,53475,31890,Louisiana,2014
48804,27557,54154,58420,34067,Maine,2014
74149,33982,76590,90470,50102,Maryland,2014
67846,30397,76699,84099,39550,Massachusetts,2014
49087,21580,53327,59969,36782,Michigan,2014
60828,28656,68028,74820,38446,Minnesota,2014
39464,21311,43119,45830,29690,Mississippi,2014
47764,23579,53109,57978,34776,Missouri,2014
46766,25992,52540,55064,35632,Montana,2014
52400,26753,56879,65436,36868,Nebraska,2014
52205,31410,54451,60175,41382,Nevada,2014
65986,34016,73372,79429,41786,New Hampshire,2014
72062,32789,77813,88136,44740,New Jersey,2014
44968,24129,46863,54190,36439,New Mexico,2014
58687,27968,65396,70383,38136,New York,2014
46693,24189,50435,55313,35024,North Carolina,2014
55579,30154,65189,71105,35087,North Dakota,2014
48849,21759,53889,60154,35190,Ohio,2014
46235,25946,50585,55848,34720,Oklahoma,2014
50521,23345,54740,60785,38519,Oregon,2014
53115,24552,60435,65855,34938,Pennsylvania,2014
56423,25626,60853,71397,36972,Rhode Island,2014
45033,22083,48649,52814,35552,South Carolina,2014
50338,27940,55935,62353,34828,South Dakota,2014
44621,22607,48825,53148,33548,Tennessee,2014
52576,26239,55494,63808,37847,Texas,2014
59846,31012,61895,74778,44070,Utah,2014
54447,29336,61124,64582,36952,Vermont,2014
64792,30558,70181,78740,44048,Virginia,2014
60294,29556,65189,72872,42749,Washington,2014
41576,20057,48823,49530,30724,West Virginia,2014
52738,26082,58482,65718,35445,Wisconsin,2014
58252,31771,64600,71642,38134,Wyoming,2014
19686,6915,22969,22809,16119,Puerto Rico,2014
43623,20943,47814,52240,33877,Alabama,2015
72515,42244,74653,83370,53373,Alaska,2015
50255,25660,53913,59446,40550,Arizona,2015
41371,22602,46070,48902,32359,Arkansas,2015
61818,29406,64784,74230,45103,California,2015
60629,28819,64809,73492,44046,Colorado,2015
70331,30327,73439,88279,45613,Connecticut,2015
60509,32040,65343,71964,44924,Delaware,2015
70848,30822,84667,71544,47763,District of Columbia,2015
47507,25292,50817,55981,38168,Florida,2015
49620,23542,51779,59082,37223,Georgia,2015
69515,38129,70065,80710,58462,Hawaii,2015
47583,25191,51623,57801,36021,Idaho,2015
57574,24913,62573,70763,39010,Illinois,2015
49255,23865,53403,59949,36339,Indiana,2015
53183,26513,60591,65595,36946,Iowa,2015
52205,26074,56845,65203,38359,Kansas,2015
43740,23213,50343,51615,32538,Kentucky,2015
45047,21958,51010,53485,32024,Louisiana,2015
49331,27980,54649,58819,35052,Maine,2015
74551,33371,77006,90541,51162,Maryland,2015
68563,30927,77341,84898,40573,Massachusetts,2015
49576,22455,53669,60516,37528,Michigan,2015
61492,30194,68946,75401,39538,Minnesota,2015
39665,21140,43051,46112,30106,Mississippi,2015
48173,23866,53406,58357,35633,Missouri,2015
47169,26228,53830,55327,36068,Montana,2015
52997,27413,57822,66338,37642,Nebraska,2015
51847,31894,53832,59830,41407,Nevada,2015
66779,34668,73712,80828,43306,New Hampshire,2015
72093,32553,77539,88616,45338,New Jersey,2015
44963,23694,46883,53642,36724,New Mexico,2015
59269,28708,65682,70792,38929,New York,2015
46868,24575,50479,55715,35696,North Carolina,2015
57181,32414,67001,72750,36043,North Dakota,2015
49429,22472,54538,60736,35908,Ohio,2015
46879,26419,51463,56056,35663,Oklahoma,2015
51243,24634,55954,61443,39448,Oregon,2015
53599,24941,61038,66204,35745,Pennsylvania,2015
56852,26138,60990,72675,37845,Rhode Island,2015
45483,23203,49470,52874,36307,South Carolina,2015
50957,28935,56563,62700,35989,South Dakota,2015
45219,23545,49543,53426,34415,Tennessee,2015
53207,27105,56464,64283,38750,Texas,2015
60727,31681,62780,75534,44764,Utah,2015
55176,31220,62021,65064,38174,Vermont,2015
65015,30348,70275,79146,45104,Virginia,2015
61062,30641,66119,73757,43521,Washington,2015
41751,20111,49390,49024,31776,West Virginia,2015
53357,26345,59541,66258,36141,Wisconsin,2015
58840,31339,66650,71602,39193,Wyoming,2015
19350,6795,22374,22385,15976,Puerto Rico,2015
44758,21303,49004,53381,35134,Alabama,2016
74444,42551,75858,86720,56196,Alaska,2016
51340,26658,55493,60784,41653,Arizona,2016
42336,23547,47339,49835,33291,Arkansas,2016
63783,30785,66979,76370,46749,California,2016
62520,30110,67250,75527,46019,Colorado,2016
71755,31977,74770,90168,47465,Connecticut,2016
61017,32246,65357,73576,45931,Delaware,2016
72935,31818,86812,73520,48747,District of Columbia,2016
48900,26344,51901,57398,39404,Florida,2016
51037,24593,53084,61011,38486,Georgia,2016
71977,39474,72915,82810,61116,Hawaii,2016
49174,25194,53078,59801,37247,Idaho,2016
59196,25913,64227,72597,40234,Illinois,2016
50433,25395,54948,61231,37639,Indiana,2016
54570,27458,62191,67143,38140,Iowa,2016
53571,27350,58604,66246,39678,Kansas,2016
44811,24765,51584,52303,33859,Kentucky,2016
45652,22514,51402,54028,32937,Louisiana,2016
50826,30234,56873,60550,36246,Maine,2016
76067,34730,79015,92228,52626,Maryland,2016
70954,32321,80263,87533,42707,Massachusetts,2016
50803,24485,55091,61880,39030,Michigan,2016
63217,31575,71297,77486,41101,Minnesota,2016
40528,22097,44609,46729,31321,Mississippi,2016
49593,24947,55312,59638,36862,Missouri,2016
48380,27191,55197,56992,36956,Montana,2016
54384,28598,59886,67947,38712,Nebraska,2016
53094,32111,55131,61355,42453,Nevada,2016
68485,35672,75233,82900,45599,New Hampshire,2016
73702,33775,79431,90790,47236,New Jersey,2016
45674,24992,47567,54098,37792,New Mexico,2016
60741,29884,67678,72292,40369,New York,2016
48256,25728,51764,57243,36870,North Carolina,2016
59114,33752,69045,75181,38102,North Dakota,2016
50674,23937,55894,61986,37186,Ohio,2016
48038,26993,52500,57316,36977,Oklahoma,2016
53270,26100,58738,63749,40652,Oregon,2016
54895,25891,62292,67898,37174,Pennsylvania,2016
58387,26341,62259,73704,39548,Rhode Island,2016
46898,24220,50671,54421,37795,South Carolina,2016
52078,30668,58311,63633,37420,South Dakota,2016
46574,25109,50837,54726,35951,Tennessee,2016
54727,28413,58210,65912,40148,Texas,2016
62518,33282,65272,78140,46542,Utah,2016
56104,31945,63508,66098,39104,Vermont,2016
66149,31159,71234,80461,46764,Virginia,2016
62848,31563,68481,76189,45121,Washington,2016
42644,21695,50130,50073,33442,West Virginia,2016
54610,28112,61186,67804,37343,Wisconsin,2016
59143,30177,67676,72008,39957,Wyoming,2016
19606,6959,22533,22722,16363,Puerto Rico,2016
46472,22553,50585,55555,36595,Alabama,2017
76114,43594,77960,88734,59041,Alaska,2017
53510,28716,57910,63626,43351,Arizona,2017
43813,25801,49133,51366,34467,Arkansas,2017
67169,32469,71124,80269,49126,California,2017
65458,32269,70695,79104,48047,Colorado,2017
73781,34055,77166,92683,50211,Connecticut,2017
63036,32110,65981,77562,48084,Delaware,2017
77649,32149,92441,78333,52254,District of Columbia,2017
50883,27918,54178,60019,40975,Florida,2017
52977,26686,55233,63724,39938,Georgia,2017
74923,39122,76799,86990,62524,Hawaii,2017
50985,25216,55480,61924,39243,Idaho,2017
61229,27183,66557,75329,42020,Illinois,2017
52182,26778,57346,63544,39104,Indiana,2017
56570,30207,64170,69969,39749,Iowa,2017
55477,29202,61001,68489,41198,Kansas,2017
46535,26378,53524,54064,35282,Kentucky,2017
46710,23841,52447,55384,34036,Louisiana,2017
53024,31086,60550,63433,38015,Maine,2017
78916,37845,82040,95503,54844,Maryland,2017
74167,35425,83862,92096,45193,Massachusetts,2017
52668,26823,57816,64259,40784,Michigan,2017
65699,33928,74283,80491,43259,Minnesota,2017
42009,23579,46237,48953,32611,Mississippi,2017
51542,26540,57773,61834,38492,Missouri,2017
50801,27528,58070,60149,38701,Montana,2017
56675,29996,62472,70843,40466,Nebraska,2017
55434,34452,57660,63907,43953,Nevada,2017
71305,37693,78524,85853,47951,New Hampshire,2017
76475,35428,82607,94093,49470,New Jersey,2017
46718,26158,48852,54948,39073,New Mexico,2017
62765,31397,70604,75198,42185,New York,2017
50320,27273,54029,59791,38466,North Carolina,2017
61285,34507,71484,77513,39740,North Dakota,2017
52407,26288,58447,64232,38738,Ohio,2017
49767,28089,54376,59025,38428,Oklahoma,2017
56119,27883,62034,67130,42587,Oregon,2017
56951,26868,64784,70545,38737,Pennsylvania,2017
61043,27149,65219,76657,40768,Rhode Island,2017
48781,25773,52106,56700,39325,South Carolina,2017
54126,32767,61408,65339,38866,South Dakota,2017
48708,27001,53066,56823,37586,Tennessee,2017
57051,29954,60769,68525,41784,Texas,2017
65325,35681,68600,81185,49026,Utah,2017
57808,31609,65398,68377,40774,Vermont,2017
68766,32664,73864,83327,49411,Virginia,2017
66174,35004,72646,80104,47130,Washington,2017
44061,22020,51412,51868,34551,West Virginia,2017
56759,29722,63956,70548,38753,Wisconsin,2017
60938,29991,70759,73103,41750,Wyoming,2017
19775,6884,22310,23156,16674,Puerto Rico,2017
48486,23802,52895,57911,37829,Alabama,2018
76715,44560,79936,90126,60627,Alaska,2018
56213,31167,60885,66961,45223,Arizona,2018
45726,27196,51264,53243,36077,Arkansas,2018
71228,35449,75328,84345,51730,California,2018
68811,35822,74554,82650,50058,Colorado,2018
76106,36819,79299,95832,52631,Connecticut,2018
65627,32692,68423,79693,51618,Delaware,2018
82604,37869,97800,84143,53580,District of Columbia,2018
53267,30195,57241,62771,42639,Florida,2018
55679,29139,58432,67235,41448,Georgia,2018
78084,40591,80092,91022,65086,Hawaii,2018
53089,27281,58254,64013,40881,Idaho,2018
63575,29498,69629,78339,43679,Illinois,2018
54325,28841,60070,65805,40599,Indiana,2018
58580,31430,66493,72184,41369,Iowa,2018
57422,30933,63335,70828,42618,Kansas,2018
48392,28083,55744,56133,36617,Kentucky,2018
47942,25552,53554,56728,35363,Louisiana,2018
55425,32310,63962,66472,39377,Maine,2018
81868,39748,84605,99403,57240,Maryland,2018
77378,38244,88230,96031,47486,Massachusetts,2018
54938,29150,60650,67108,42287,Michigan,2018
68411,36440,77555,83576,45519,Minnesota,2018
43567,25227,48185,50409,34275,Mississippi,2018
53560,28670,60699,64219,40184,Missouri,2018
52559,29264,60392,61929,40168,Montana,2018
59116,31669,65648,73502,42172,Nebraska,2018
57598,35767,60571,66537,45468,Nevada,2018
74057,40545,82169,89737,49751,New Hampshire,2018
79363,37186,85767,97649,51492,New Jersey,2018
48059,26961,50836,55842,40143,New Mexico,2018
65323,32689,73850,78232,44136,New York,2018
52413,29094,56570,62464,40062,North Carolina,2018
63473,36135,73785,80529,41770,North Dakota,2018
54533,28485,60925,66721,40358,Ohio,2018
51424,29782,56693,60647,39918,Oklahoma,2018
59393,30840,66141,71022,44699,Oregon,2018
59445,28511,67926,73434,40464,Pennsylvania,2018
63296,29247,68018,78949,42027,Rhode Island,2018
51015,27631,54753,59405,41017,South Carolina,2018
56499,33170,64381,68069,40628,South Dakota,2018
50972,29429,55707,59578,39089,Tennessee,2018
59570,31149,63253,71455,43411,Texas,2018
68374,37318,72045,84726,51172,Utah,2018
60076,33244,67976,71566,42542,Vermont,2018
71564,34975,76934,86769,51230,Virginia,2018
70116,38158,77436,84306,49616,Washington,2018
44921,23874,52786,52261,35779,West Virginia,2018
59209,31712,67042,73206,40383,Wisconsin,2018
62268,30764,72111,74718,42937,Wyoming,2018
20166,6666,22421,23630,17201,Puerto Rico,2018
50536,23691,54821,60250,39518,Alabama,2019
77640,44526,80407,92391,61257,Alaska,2019
58945,33202,63679,70377,47442,Arizona,2019
47597,28951,53066,55382,37101,Arkansas,2019
75235,38389,80095,88861,54428,California,2019
72331,38689,78228,86829,52407,Colorado,2019
78444,39118,81064,98647,55538,Connecticut,2019
68287,34216,70605,82986,54346,Delaware,2019
86420,39391,101513,89041,56953,District of Columbia,2019
55660,31906,60135,65374,45008,Florida,2019
58700,31173,61608,70757,43803,Georgia,2019
81275,41837,82644,95066,67985,Hawaii,2019
55785,30252,61507,66728,43250,Idaho,2019
65886,31041,72646,81223,45861,Illinois,2019
56303,30463,62537,68726,41926,Indiana,2019
60523,33559,68807,74478,43149,Iowa,2019
59597,31637,65607,73078,44416,Kansas,2019
50589,30068,58132,58809,38067,Kentucky,2019
49469,26211,55290,58153,36643,Louisiana,2019
57918,36292,67055,69234,41220,Maine,2019
84805,42745,87405,102855,59434,Maryland,2019
81215,41095,92545,100386,50475,Massachusetts,2019
57144,30853,63027,69897,44061,Michigan,2019
71306,38836,81182,86757,47971,Minnesota,2019
45081,25404,49502,52148,35631,Mississippi,2019
55461,30633,63221,66537,41719,Missouri,2019
54970,29559,63510,64446,42069,Montana,2019
61439,33109,68448,75688,44445,Nebraska,2019
60365,37494,62981,70407,47665,Nevada,2019
76768,43587,84505,93534,52271,New Hampshire,2019
82545,39363,89785,101498,54430,New Jersey,2019
49754,27300,52704,57485,41843,New Mexico,2019
68486,34646,77409,81723,46606,New York,2019
54602,30936,59286,65102,41750,North Carolina,2019
64894,37389,75446,81599,44019,North Dakota,2019
56602,30719,63024,69189,42072,Ohio,2019
52919,30768,58612,62344,41379,Oklahoma,2019
62818,33130,70601,74782,47159,Oregon,2019
61744,30244,70683,76132,42482,Pennsylvania,2019
67167,31014,71649,83931,44093,Rhode Island,2019
53199,28930,57666,62050,42801,South Carolina,2019
58275,34879,65875,70776,43345,South Dakota,2019
